CI_N,CR_N,CL_N,RM_T,RL_N,FB_N,FP_N,FR_N,RV_N,RU_E,RD_U,average
3,3,31,157.17,5,32,9,7,18,0.355,0.644,78.97
3,2,24,124.76,3,19,5,9,17,0.409,0.446,73.89
6,3,28,157.13,3,16,6,7,23,0.575,0.648,80.18
6,4,40,182.06,4,12,12,9,24,1.0,0.613,87.18
4,3,29,152.18,4,8,4,14,14,0.585,0.645,73.13
5,4,28,151.7,3,9,12,13,17,0.333,0.641,73.13
7,2,15,110.51,5,24,6,6,21,0.821,0.779,87.63
3,1,35,112.09,5,24,10,12,18,0.44,0.676,81.14
5,1,33,68.53,4,9,6,11,11,0.624,0.688,71.24
4,4,48,250.6,6,26,10,5,21,0.553,0.615,79.34
4,3,24,77.66,2,16,6,11,10,0.468,0.386,71.29
6,2,29,109.34,3,20,7,13,17,0.656,0.554,71.27
6,3,30,108.46,3,30,8,5,17,0.404,0.797,76.94
6,1,42,199.43,1,23,4,4,2,0.098,0.249,59.69
7,5,26,131.17,3,16,8,10,9,0.232,0.337,61.2
5,3,30,220.83,4,13,6,9,5,0.605,0.54,70.5
6,3,33,110.0,6,5,6,9,12,0.203,0.444,66.9
4,3,29,165.86,5,16,5,10,18,0.208,0.489,77.51
5,3,23,100.78,2,17,0,9,9,0.36,0.576,67.74
4,3,29,271.72,6,11,6,3,9,0.425,0.645,63.7
5,2,38,82.5,6,21,15,13,26,0.901,0.733,86.73
6,3,17,167.19,5,20,9,12,12,0.45,0.44,73.19
3,4,29,186.06,3,18,8,8,11,0.497,0.405,75.54
8,4,20,172.17,2,14,6,7,13,0.504,0.432,63.6
3,4,38,138.46,3,20,7,3,18,0.22,0.613,70.64
2,2,13,142.19,5,23,9,10,15,0.506,0.618,75.89
7,2,22,151.13,6,11,4,9,13,0.413,0.434,65.79
6,2,31,141.42,6,29,11,9,20,0.653,0.536,78.01
6,3,42,204.48,3,18,9,12,10,0.394,0.381,70.19
6,4,27,276.41,2,19,9,7,12,0.508,0.612,72.67
4,1,22,117.01,4,23,8,10,16,0.13,0.587,70.19
3,4,46,72.34,2,24,9,7,27,0.705,0.595,89.82
5,2,14,144.48,4,26,9,8,16,0.601,0.719,74.89
3,2,6,297.0,3,20,8,7,7,0.269,0.504,66.54
6,2,32,104.04,3,17,7,10,24,0.662,0.788,81.58
4,1,22,242.79,2,20,5,6,8,0.437,0.289,65.23
3,3,18,246.19,4,13,8,8,14,0.525,0.439,76.67
4,2,33,116.11,3,18,10,9,7,0.301,0.333,59.32
5,1,29,181.17,2,18,3,6,14,0.235,0.468,64.37
4,1,22,243.35,0,19,4,3,18,0.542,0.762,76.57
3,2,15,128.38,4,20,9,15,19,0.724,0.708,80.91
5,4,36,138.0,6,8,8,13,17,0.587,0.55,76.37
5,2,33,116.02,6,16,8,4,14,0.449,0.439,74.07
4,1,26,90.97,3,20,8,10,15,0.532,0.651,72.59
4,2,44,111.01,3,19,6,5,0,0.438,0.301,63.17
5,2,17,78.6,4,12,11,9,11,0.172,0.648,69.24
2,0,13,151.14,2,27,3,9,13,0.635,0.479,71.31
2,3,21,106.17,4,16,6,9,15,0.641,0.833,83.46
3,2,27,163.29,5,26,8,6,17,0.646,0.663,77.75
4,3,29,58.64,5,20,2,5,7,0.464,0.356,60.9
5,4,25,168.85,4,16,7,6,21,0.404,0.538,77.59
7,4,30,197.17,3,30,12,5,18,0.396,0.481,71.92
6,2,15,34.37,3,11,7,8,10,0.413,0.529,69.58
4,2,41,171.58,3,26,9,7,16,0.521,0.63,79.89
5,5,27,221.0,4,27,5,12,18,0.913,0.605,83.25
3,3,38,80.79,4,17,7,14,17,0.554,0.639,82.45
4,2,30,245.03,5,27,6,6,12,0.355,0.476,68.29
4,2,32,173.4,3,18,7,9,11,0.528,0.305,72.53
5,3,33,109.3,6,22,11,10,12,0.427,0.639,77.65
3,2,32,147.17,3,23,10,11,20,0.622,0.56,82.8
5,2,33,181.26,4,18,4,8,14,0.52,0.388,71.17
7,2,40,153.78,3,24,8,11,11,0.473,0.364,73.51
4,2,29,179.62,0,23,8,9,13,0.381,0.255,66.15
5,2,34,95.64,5,7,10,3,8,0.311,0.291,65.43
6,2,27,159.97,5,29,12,12,18,0.451,0.57,81.5
4,3,41,69.41,4,11,6,13,22,0.769,0.902,85.85
5,2,21,143.11,4,26,5,6,14,0.767,0.495,74.42
5,4,45,98.43,5,28,5,9,20,0.681,0.682,83.03
5,0,27,107.57,2,13,7,11,14,0.622,0.636,77.89
3,3,13,220.09,3,16,8,7,11,0.548,0.502,69.84
5,4,29,212.61,5,13,10,12,15,0.422,0.587,77.89
5,1,21,185.86,2,20,8,18,18,0.977,0.597,87.3
7,2,35,86.73,4,18,7,6,14,0.565,0.702,74.71
6,2,22,132.67,2,27,9,5,16,0.972,0.909,87.52
8,1,22,217.13,4,24,4,7,2,0.091,0.106,54.04
3,2,10,158.39,4,30,14,12,17,0.896,0.539,81.58
6,2,23,282.98,2,16,3,8,14,0.658,0.537,75.7
5,4,4,171.93,5,18,8,13,12,0.576,0.426,72.61
8,3,12,160.68,3,9,13,4,15,0.586,0.619,75.73
3,4,34,130.14,3,12,6,9,8,0.241,0.271,59.1
3,3,35,157.06,4,25,7,6,16,0.673,0.756,73.24
3,2,31,141.09,5,30,7,15,14,0.61,0.717,77.86
1,2,19,191.5,3,14,8,16,17,0.48,0.736,86.82
4,3,27,204.14,4,15,11,5,9,0.324,0.607,70.85
3,1,27,103.7,4,18,1,6,10,0.409,0.585,68.53
5,3,16,72.61,5,21,11,11,11,0.516,0.446,70.99
5,2,42,44.75,4,16,4,8,16,0.659,0.57,82.32
8,2,36,179.04,3,23,7,9,12,0.75,0.6,77.63
6,3,25,85.69,3,16,6,8,11,0.211,0.589,70.76
4,3,28,26.21,4,20,9,3,17,0.631,0.626,79.11
3,2,29,171.98,2,23,3,9,17,0.313,0.405,75.78
5,4,8,293.7,0,21,9,7,17,0.775,0.577,82.75
2,1,25,148.63,4,16,12,6,10,0.435,0.475,69.38
8,3,21,197.5,5,18,4,13,10,0.554,0.514,72.38
7,3,18,153.94,1,19,8,4,13,0.375,0.718,71.86
4,2,24,142.66,2,15,5,10,6,0.516,0.259,63.29
1,3,44,202.65,5,18,9,8,17,0.722,0.64,77.37
7,1,33,133.09,7,30,8,8,10,0.656,0.738,77.09
4,3,22,164.94,4,23,6,11,13,0.526,0.791,75.04
7,2,33,167.86,3,17,9,9,14,0.588,0.49,73.12
2,2,40,109.98,3,22,11,9,9,0.257,0.457,63.68
3,3,36,206.25,6,17,7,11,21,0.6,0.571,71.63
4,2,28,139.22,3,27,9,7,14,0.716,0.541,72.26
5,1,21,105.45,3,21,4,6,8,0.577,0.462,68.58
4,1,34,180.27,3,19,5,5,13,0.424,0.585,73.71
6,3,31,98.24,3,23,9,6,10,0.645,0.34,78.23
3,2,36,152.75,4,12,13,20,22,0.625,0.827,90.09
4,4,33,149.18,6,13,9,13,12,0.643,0.588,76.4
5,1,37,212.21,4,12,7,4,18,0.638,0.561,77.06
5,4,22,176.79,3,20,8,4,12,0.283,0.759,74.4
6,3,39,146.53,3,28,3,8,6,0.129,0.284,59.65
2,2,29,196.56,2,34,9,10,12,0.501,0.513,74.79
2,2,47,229.54,5,24,10,10,20,0.511,0.768,75.48
7,3,22,183.68,4,26,8,10,23,0.714,0.733,94.71
5,2,44,150.0,4,8,6,8,19,0.569,0.48,73.46
3,4,29,74.39,8,17,8,10,18,0.617,0.574,77.41
7,3,21,88.3,4,15,6,9,16,0.512,0.64,74.72
5,3,22,131.04,3,14,7,0,11,0.284,0.454,65.65
7,2,25,115.47,3,20,14,9,20,0.837,0.545,84.14
5,3,32,139.44,5,18,7,6,11,0.865,0.582,81.02
8,3,33,153.48,4,8,7,10,17,0.585,0.579,81.33
8,1,22,179.26,2,23,5,18,13,0.338,0.452,67.72
4,1,28,146.67,5,15,10,11,20,0.798,0.75,86.22
6,3,47,176.37,3,19,6,6,4,0.306,0.451,63.79
6,3,44,153.76,6,33,6,12,17,0.603,0.437,79.69
7,3,32,37.8,5,17,12,12,29,0.937,0.899,92.52
3,2,27,94.73,3,2,11,9,14,0.154,0.478,67.08
6,3,28,140.81,5,17,6,10,12,0.642,0.639,70.47
6,2,33,80.09,4,27,3,15,18,0.566,0.613,75.8
1,2,17,183.64,5,31,10,4,11,0.42,0.617,70.97
2,3,24,236.28,4,10,5,9,3,0.321,0.44,62.59
1,2,11,219.69,3,23,10,5,12,0.547,0.703,75.55
4,3,31,136.41,3,15,2,9,15,0.168,0.498,66.5
6,1,34,235.66,5,20,10,6,15,0.806,0.597,78.79
7,3,22,157.35,3,35,4,6,10,0.424,0.693,67.64
5,3,43,131.47,3,12,11,9,20,0.811,0.813,87.4
7,3,15,113.65,2,20,7,11,17,0.564,0.533,68.73
2,3,13,131.9,4,22,5,11,18,0.363,0.392,72.42
2,4,30,127.92,7,28,7,5,25,0.716,0.511,81.51
4,3,37,158.34,2,19,9,8,9,0.341,0.456,65.15
5,1,43,158.98,4,22,8,6,16,0.686,0.596,76.82
5,1,23,150.82,6,19,10,5,15,0.436,0.633,85.46
1,2,37,173.35,4,19,12,6,12,0.312,0.401,62.14
4,3,27,218.17,4,18,4,8,11,0.487,0.74,76.48
2,3,26,204.37,2,24,12,17,16,0.635,0.656,77.08
6,2,36,64.84,4,18,8,11,14,0.711,0.523,81.25
5,3,33,1.7,3,20,4,3,7,0.281,0.414,65.1
3,2,12,202.18,5,18,3,5,6,0.269,0.334,64.44
4,2,41,71.41,5,27,7,12,15,0.598,0.573,79.18
3,1,40,136.89,7,20,10,16,14,0.463,0.546,77.38
4,2,21,82.5,5,9,7,3,14,0.689,0.534,77.0
6,1,31,46.25,4,28,12,3,18,0.54,0.465,77.77
3,2,32,180.13,4,13,3,14,8,0.063,0.472,69.56
5,4,30,193.4,3,16,8,10,16,0.524,0.524,76.86
4,2,22,116.66,4,16,5,6,19,0.444,0.287,77.34
3,5,21,0.0,3,27,8,10,10,0.229,0.692,69.29
4,3,28,119.7,4,9,11,1,20,0.63,0.867,89.93
3,3,39,172.48,6,40,7,9,16,0.621,0.569,78.79
3,2,32,63.55,2,25,0,8,13,0.559,0.432,65.47
2,3,24,160.65,5,22,9,12,18,0.673,0.506,80.25
8,2,34,147.87,5,18,8,4,9,0.33,0.628,67.2
5,3,1,183.52,4,23,9,9,19,0.71,0.835,81.3
3,5,39,157.4,1,25,12,6,16,0.638,0.696,84.27
5,2,10,92.94,3,23,4,9,13,0.339,0.575,68.43
4,4,24,219.16,6,24,10,6,20,0.519,0.677,82.71
4,2,17,140.79,4,21,11,7,15,0.365,0.463,78.3
6,3,15,148.67,3,20,4,6,15,0.602,0.602,81.58
6,4,39,97.48,3,21,10,12,19,0.82,0.772,90.17
4,2,23,123.87,5,18,6,11,15,0.497,0.484,73.04
3,4,30,98.07,4,26,7,7,15,0.385,0.454,68.97
4,3,27,138.88,3,22,8,8,9,0.296,0.453,67.88
0,2,32,247.3,3,0,6,3,12,0.514,0.462,68.47
2,3,28,70.62,3,24,6,7,7,0.357,0.554,74.38
7,3,15,57.08,3,21,8,9,14,0.692,0.484,77.73
7,3,37,234.38,6,20,5,17,15,0.446,0.513,77.21
4,1,23,138.21,3,18,5,6,15,0.554,0.513,81.62
6,2,13,111.11,5,27,9,13,11,0.349,0.659,75.1
5,2,24,210.56,6,28,6,13,18,0.672,0.495,86.63
10,2,41,114.52,5,14,9,9,14,0.637,0.647,72.88
7,3,36,256.8,3,26,11,17,25,0.979,0.988,96.76
4,3,24,189.06,4,14,4,10,10,0.758,0.592,80.01
3,1,24,120.8,4,10,5,9,4,0.496,0.198,68.14
2,3,24,272.71,2,14,10,7,8,0.251,0.406,66.43
5,3,47,115.14,4,26,5,13,18,0.564,0.602,78.86
3,3,31,192.04,2,25,6,12,5,0.408,0.429,73.21
2,4,32,167.36,5,24,9,7,16,0.816,0.58,80.71
3,3,37,224.8,3,25,10,4,15,0.447,0.764,78.79
3,3,30,239.28,4,23,7,8,18,0.652,0.618,74.42
7,2,25,150.7,4,14,5,5,10,0.547,0.372,68.23
6,1,25,104.99,3,20,10,7,9,0.582,0.232,62.88
4,3,26,175.64,4,24,12,12,13,0.428,0.476,71.43
7,3,27,111.31,3,26,11,8,11,0.753,0.626,81.85
5,3,34,265.5,5,27,8,9,18,0.876,0.631,76.71
3,1,27,156.38,2,22,5,8,10,0.292,0.37,65.03
7,2,34,128.7,4,22,6,11,17,0.361,0.628,76.39
5,4,27,160.5,6,27,9,1,28,0.344,0.797,78.08
3,2,28,71.38,2,18,8,6,4,0.518,0.547,67.93
4,3,8,93.83,3,14,11,9,20,0.312,0.568,76.23
3,3,36,218.63,4,19,9,13,14,0.501,0.544,75.47
2,2,30,110.85,4,13,3,6,11,0.447,0.399,65.86
6,3,37,89.67,4,16,11,3,16,0.616,0.716,77.86
8,2,0,180.88,4,20,5,11,15,0.675,0.552,79.49
2,3,47,218.63,5,16,7,7,17,0.719,0.677,83.66
6,2,26,191.77,5,19,9,5,20,0.855,0.674,83.43
3,2,37,205.69,4,6,12,5,4,0.23,0.359,63.98
4,2,17,105.27,3,20,15,7,13,0.326,0.316,67.5
3,3,33,68.24,5,20,9,7,15,0.509,0.645,79.12
3,2,17,236.31,6,15,7,2,13,0.723,0.605,79.11
5,4,22,131.44,4,24,9,12,15,0.732,0.663,79.12
3,2,46,137.53,3,30,12,15,30,0.991,0.807,98.0
5,2,26,226.4,5,10,7,11,15,0.778,0.743,79.57
4,2,30,182.48,4,16,13,6,20,0.539,0.587,84.08
4,4,36,176.56,1,16,9,9,16,0.894,0.834,82.63
3,3,32,274.58,5,15,9,9,19,0.834,0.447,80.21
3,3,29,112.3,3,24,9,10,15,0.598,0.568,72.48
6,1,31,203.54,4,19,9,11,23,0.883,0.686,81.07
5,3,50,152.2,4,17,9,5,11,0.217,0.393,68.82
3,3,27,164.81,4,7,6,9,16,0.441,0.575,73.11
5,3,29,237.04,5,23,6,10,13,0.379,0.637,71.12
6,4,37,178.83,3,12,5,13,19,0.65,0.338,75.65
2,2,39,182.43,5,23,10,13,21,0.715,0.854,93.52
5,4,38,209.68,3,19,8,9,9,0.391,0.102,60.06
3,5,34,129.15,5,29,9,9,17,0.818,0.531,80.49
5,2,16,99.97,4,9,11,12,8,0.418,0.553,62.1
3,2,43,89.1,2,0,7,9,13,0.517,0.447,71.22
1,4,17,37.41,5,22,10,7,20,0.558,0.552,83.71
2,4,30,267.83,3,31,5,13,14,0.438,0.543,75.51
5,2,20,85.24,5,26,6,10,11,0.564,0.655,66.38
5,2,26,136.25,4,20,9,6,16,0.55,0.293,69.28
3,2,31,134.21,6,17,10,7,20,0.629,0.521,80.44
6,1,30,166.63,3,24,6,9,14,0.388,0.633,69.16
2,2,31,196.64,3,14,8,10,14,0.302,0.771,76.73
4,2,43,199.07,4,23,4,9,12,0.406,0.551,75.36
2,2,31,115.5,3,22,6,9,15,0.709,0.36,69.79
3,3,26,141.73,5,29,11,16,26,0.662,1.0,92.15
5,3,37,166.33,2,38,9,13,22,0.654,0.788,80.07
3,4,38,133.58,2,19,7,7,4,0.403,0.412,58.8
4,2,16,242.13,2,17,8,12,14,0.401,0.493,76.49
6,3,33,177.24,5,19,7,4,7,0.478,0.482,69.71
4,2,34,192.52,6,10,6,11,17,0.783,0.631,81.82
6,2,24,187.02,4,14,9,14,14,0.437,0.507,68.66
2,3,40,216.93,4,17,9,8,12,0.91,0.694,74.08
5,2,26,160.39,4,17,9,6,18,0.388,0.701,79.04
7,3,29,75.72,5,22,7,7,17,0.801,0.538,81.93
0,3,25,171.55,2,13,1,4,11,0.358,0.571,65.4
3,3,27,111.84,4,26,10,6,9,0.6,0.554,72.32
6,3,17,118.78,5,19,6,7,13,0.537,0.577,71.2
4,5,13,182.73,4,19,5,3,2,0.357,0.638,69.77
5,2,43,222.22,4,20,11,10,21,0.812,0.63,89.12
3,2,19,151.12,5,21,7,12,11,0.35,0.596,78.24
5,2,17,166.27,0,23,9,4,13,0.453,0.368,64.91
4,2,7,248.19,5,15,10,14,21,0.706,0.493,82.34
7,2,22,165.17,3,18,11,12,24,0.914,0.818,91.98
5,4,15,300.0,1,19,5,13,23,0.823,0.925,83.26
5,4,42,180.81,4,9,10,5,5,0.386,0.206,62.85
4,2,37,47.93,6,14,8,11,18,0.497,0.502,71.13
4,2,21,193.93,4,18,7,6,22,0.596,0.757,85.14
4,3,48,170.89,5,24,7,11,11,0.352,0.494,69.34
5,2,37,224.08,6,22,3,9,20,0.761,0.592,78.55
4,3,24,188.91,6,22,9,11,14,0.839,0.506,81.2
5,3,3,140.83,6,24,4,4,8,0.386,0.482,67.58
8,1,49,79.12,5,19,4,5,12,0.541,0.473,74.52
6,4,13,134.95,4,18,1,8,0,0.0,0.0,50.0
4,4,11,99.81,2,18,10,4,7,0.561,0.571,66.8
7,2,37,115.98,3,21,6,10,17,0.597,0.629,72.98
4,2,50,182.37,3,14,11,3,8,0.633,0.43,65.02
1,3,41,246.93,7,7,7,13,22,0.646,0.754,88.06
3,3,32,171.07,3,17,2,3,7,0.299,0.515,63.56
1,3,33,80.44,4,28,4,10,7,0.514,0.533,71.48
4,4,35,175.23,5,26,11,11,16,0.647,0.664,76.05
5,3,35,219.56,4,28,8,7,14,0.709,0.679,86.53
7,2,29,113.31,6,25,5,9,8,0.232,0.539,63.51
5,1,29,142.82,3,22,9,10,15,0.817,0.713,84.31
4,2,27,150.42,4,21,9,7,21,0.64,0.578,75.08
6,2,20,103.62,3,14,10,4,13,0.288,0.322,67.15
1,4,25,187.22,2,18,12,2,17,0.786,0.635,78.7
5,2,11,142.77,3,24,7,10,19,0.726,0.493,76.59
6,3,26,173.18,4,26,4,3,9,0.479,0.428,70.2
2,3,18,98.59,3,19,7,9,16,0.563,0.481,75.56
7,4,17,124.09,3,16,8,7,13,0.564,0.406,71.92
5,5,29,191.19,2,20,5,11,16,0.443,0.787,75.91
4,2,41,128.68,4,24,6,8,21,0.636,0.764,80.3
6,2,37,250.17,2,13,10,9,23,0.47,0.923,87.69
8,3,12,125.56,5,3,7,10,10,0.492,0.3,65.1
5,3,19,164.25,4,19,9,12,18,0.623,0.791,92.06
5,4,36,201.56,2,9,4,8,3,0.479,0.217,59.38
4,3,18,67.89,3,16,7,10,13,0.478,0.469,73.79
3,2,25,48.81,3,20,6,4,17,0.594,0.525,79.71
6,3,33,62.08,4,17,10,11,12,0.497,0.714,77.25
3,3,18,221.64,5,28,10,10,19,0.42,0.45,70.02
5,3,28,117.66,1,21,3,5,18,0.704,0.645,73.34
4,3,14,296.23,4,21,5,7,14,0.144,0.567,71.06
5,3,21,116.63,3,23,3,8,12,0.633,0.731,70.29
5,4,31,160.88,5,14,6,9,17,0.702,0.495,81.8
6,4,12,238.52,4,27,8,10,13,0.43,0.724,77.86
4,3,31,264.33,3,18,3,13,12,0.306,0.601,69.46
4,2,27,268.83,3,25,6,13,19,0.888,0.552,82.2
3,3,33,219.29,3,13,5,4,12,0.458,0.693,77.46
4,4,30,209.11,5,11,9,11,19,0.499,0.678,81.5
5,2,40,184.15,4,26,8,13,16,0.779,0.6,80.04
