1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,AVERAGE
92.92,88.88,69.69,97.97,84.84,80.8,53.53,73.73,59.59,94.94,74.74,65.65,87.87,77.77,61.61,77.63533333
82.82,50.5,90.9,58.58,73.73,70.7,69.69,63.63,54.54,51.51,93.93,74.74,83.83,78.78,69.69,71.17133333
54.54,59.59,84.84,82.82,97.97,78.78,94.94,83.83,73.73,79.79,72.72,92.92,69.69,73.73,61.61,77.43333333
81.81,87.87,62.62,73.73,84.84,96.96,81.81,71.71,85.85,80.8,88.88,85.85,73.73,73.73,75.75,80.396
65.65,99.99,96.96,55.55,52.52,68.68,91.91,86.86,69.69,71.71,78.78,53.53,83.83,85.85,55.55,74.47066667
79.79,79.79,77.77,93.93,86.86,55.55,57.57,85.85,59.59,71.71,83.83,65.65,87.87,90.9,98.98,78.376
69.69,87.87,55.55,87.87,68.68,52.52,96.96,75.75,59.59,67.67,88.88,77.77,88.88,74.74,59.59,74.134
69.69,82.82,84.84,95.95,94.94,50.5,98.98,77.77,71.71,57.57,88.88,71.71,51.51,50.5,59.59,73.79733333
50.5,74.74,83.83,79.79,53.53,83.83,51.51,93.93,99.99,70.7,79.79,68.68,81.81,54.54,73.73,73.39333333
61.61,96.96,88.88,67.67,66.66,89.89,69.69,63.63,75.75,67.67,93.93,79.79,82.82,99.99,99.99,80.32866667
71.71,92.92,72.72,75.75,61.61,83.83,56.56,50.5,97.97,56.56,75.75,60.6,95.95,89.89,68.68,74.06666667
75.75,85.85,58.58,71.71,89.89,80.8,99.99,84.84,53.53,65.65,93.93,60.6,54.54,50.5,71.71,73.19133333
82.82,53.53,57.57,95.95,63.63,82.82,89.89,97.97,86.86,86.86,65.65,52.52,98.98,94.94,93.93,80.26133333
94.94,65.65,59.59,51.51,66.66,78.78,87.87,64.64,92.92,89.89,68.68,82.82,99.99,74.74,92.92,78.10666667
64.64,85.85,87.87,90.9,65.65,89.89,64.64,54.54,90.9,89.89,94.94,64.64,94.94,64.64,67.67,78.10666667
99.99,91.91,92.92,68.68,63.63,82.82,52.52,99.99,81.81,61.61,99.99,60.6,89.89,51.51,78.78,78.44333333
98.98,95.95,93.93,84.84,89.89,98.98,97.97,92.92,71.71,79.79,63.63,54.54,57.57,87.87,84.84,83.56066667
63.63,58.58,54.54,83.83,96.96,86.86,55.55,69.69,65.65,57.57,77.77,92.92,57.57,53.53,71.71,69.75733333
66.66,84.84,63.63,58.58,94.94,95.95,81.81,72.72,53.53,95.95,98.98,96.96,51.51,64.64,81.81,77.50066667
73.73,51.51,59.59,83.83,96.96,87.87,72.72,65.65,96.96,73.73,66.66,80.8,64.64,98.98,95.95,77.972
50.5,79.79,87.87,77.77,81.81,53.53,95.95,91.91,65.65,82.82,92.92,81.81,78.78,92.92,81.81,79.72266667
85.85,59.59,62.62,84.84,84.84,54.54,56.56,62.62,79.79,79.79,90.9,76.76,91.91,51.51,61.61,72.24866667
50.5,95.95,50.5,88.88,88.88,94.94,66.66,96.96,67.67,53.53,68.68,59.59,66.66,94.94,80.8,75.00933333
62.62,69.69,95.95,84.84,62.62,50.5,88.88,78.78,92.92,94.94,98.98,51.51,95.95,69.69,73.73,78.10666667
64.64,68.68,67.67,95.95,66.66,85.85,74.74,67.67,54.54,81.81,93.93,96.96,89.89,63.63,72.72,76.356
89.89,67.67,53.53,77.77,87.87,88.88,62.62,90.9,79.79,54.54,69.69,61.61,88.88,93.93,97.97,77.70266667
52.52,57.57,97.97,81.81,71.71,89.89,89.89,80.8,65.65,90.9,56.56,82.82,70.7,58.58,62.62,73.99933333
60.6,64.64,67.67,59.59,53.53,53.53,58.58,62.62,69.69,70.7,53.53,93.93,70.7,79.79,76.76,66.39066667
